sample_id,task,original_text,hypothesis,dialect_text,label,target_dialect,domain,confidence,annotator_id,review_count,final_status,annotation_type,sample_group,orig_text_eval,orig_n_tokens,orig_nll,orig_ppl,para_n_tokens,para_nll,para_ppl,delta_nll,delta_ppl,ratio_ppl,orig_len,para_len,length_ratio
SENT_0018,SENT,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",,"thời buổi bây giờ chuyện gì cũng có thể xảy ra, vậy nên thôi nghỉ, đừng nên tin ai",Fear,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,SENT_0018,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",24,4.696091175079346,109.51824704776799,22,4.162221431732178,64.21401131925474,-0.533869743347168,-45.30423572851325,0.5863316209877506,21,19,0.9047619047619048
SENT_0070,SENT,xem cái này mới biết vốn tiếng anh của mình cũng khá !,,xem cái này mới biết vốn tiếng anh của mình cũng khá !,Surprise,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,SENT_0070,xem cái này mới biết vốn tiếng anh của mình cũng khá !,15,5.505312919616699,245.99542042897426,15,5.505312919616699,245.99542042897426,0.0,0.0,1.0,13,13,1.0
SENT_0018,SENT,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",,"thời buổi bây giờ chuyện gì cũng có thể xảy ra, vậy nên thôi chứ, đừng nên tin ai",Fear,PNT1,Daily Conversation,high,6b0ccea8-04fe-4c9c-82c8-309e147936f4,0,finalized,qualification,SENT_0018,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",24,4.696091175079346,109.51824704776799,22,4.143782615661621,63.04083024932754,-0.5523085594177246,-46.477416798440444,0.5756194236913905,21,19,0.9047619047619048
SENT_0192,SENT,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,,may mình đi làm rồi chứ 10 năm trước chắc sẽ mệt với ba má vì họ tin con nhà người ta như vậy,Enjoyment,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,SENT_0192,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,28,4.938327312469482,139.5366530278945,27,4.900528907775879,134.36082538028606,-0.037798404693603516,-5.175827647608429,0.9629070388654533,26,24,0.9230769230769231
SENT_0070,SENT,xem cái này mới biết vốn tiếng anh của mình cũng khá !,,coi cái ni mới biết vốn tiếng anh của tau cũng khá!,Surprise,PNT1,Daily Conversation,high,6b0ccea8-04fe-4c9c-82c8-309e147936f4,0,finalized,qualification,SENT_0070,xem cái này mới biết vốn tiếng anh của mình cũng khá !,15,5.505312919616699,245.99542042897426,15,7.067990779876709,1173.7872663961239,1.5626778602600098,927.7918459671496,4.771581781275595,13,12,0.9230769230769231
SENT_0237,SENT,"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",,"có ai nhìn thấy hình như ông này đang đau khổ lắm không ? mình thấy hình như ổng đang rất đau , mà không thể or không muốn nói .",Sadness,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,SENT_0237,"có ai nhìn thấy hình như người đàn ông này đang rất đau khổ không nhỉ ? mình nhận thấy hình như ông ấy đang rất đau khổ , mà không thể or không muốn nói ra .",39,3.525766372680664,33.979804834285595,32,4.293212890625,73.20127879011612,0.7674465179443359,39.221473955830525,2.15425836455235,38,31,0.8157894736842105
SENT_0192,SENT,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,,May mà tau đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta thế này,Enjoyment,PNT1,Daily Conversation,high,6b0ccea8-04fe-4c9c-82c8-309e147936f4,0,finalized,qualification,SENT_0192,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,28,4.938327312469482,139.5366530278945,28,5.472904205322266,238.15082830509607,0.5345768928527832,98.61417527720158,1.7067259615112584,26,26,1.0
MCQA_0025_10,MCQA,"Mai đã nói gì khi biết cô cũng quyết định cho mình viết bút mực?
A. Thôi cô ạ, em không thích viết bút mực.
B. Thôi cô ạ, cứ để bạn Lan viết trước.
C. Thôi cô ạ, thế thì em không cho Lan mượn bút nữa.
D. Thôi cô ạ, em nhường bạn Lan viết bút mực.","Thôi cô ạ, cứ để bạn Lan viết trước.","Mai đã nói chi khi biết cô cũng quyết định cho mình viết bút mực?
A. Thôi cô ạ, em không thích viết bút mực.
B. Thôi cô ạ, cứ để bạn Lan viết trước.
C. Thôi cô ạ, rứa thì em không cho Lan mượn bút nữa.
D. Thôi cô ạ, em nhường bạn Lan viết bút mực.",B,PNT4,Daily Conversation,high,5ea76d15-516d-4285-a781-7b1c6a04a627,0,unknown,rewrite,MCQA_0025_10,"Mai đã nói gì khi biết cô cũng quyết định cho mình viết bút mực?
A. Thôi cô ạ, em không thích viết bút mực.
B. Thôi cô ạ, cứ để bạn Lan viết trước.
C. Thôi cô ạ, thế thì em không cho Lan mượn bút nữa.
D. Thôi cô ạ, em nhường bạn Lan viết bút mực.",91,2.4825801849365234,11.972114871245452,93,2.6426048278808594,14.04975317318864,0.16002464294433594,2.077638301943187,1.1735397901112063,59,59,1.0
MCQA_0025_10,MCQA,"Mai đã nói gì khi biết cô cũng quyết định cho mình viết bút mực?
A. Thôi cô ạ, em không thích viết bút mực.
B. Thôi cô ạ, cứ để bạn Lan viết trước.
C. Thôi cô ạ, thế thì em không cho Lan mượn bút nữa.
D. Thôi cô ạ, em nhường bạn Lan viết bút mực.","Thôi cô ạ, cứ để bạn Lan viết trước.","Mai đã nói gì khi cô cũng quyết định cho mình viết viết mực?
A. Dạ thôi cô, con không thích viết viết mực.
B. Dạ thôi cô, để bạn Lan viết trước.
C. Dạ thôi cô, vậy con không cho Lan mượn viết nữa.
D. Dạ thôi cô, con nhường bạn Lan viết viết mực.",B,PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,MCQA_0025_10,"Mai đã nói gì khi biết cô cũng quyết định cho mình viết bút mực?
A. Thôi cô ạ, em không thích viết bút mực.
B. Thôi cô ạ, cứ để bạn Lan viết trước.
C. Thôi cô ạ, thế thì em không cho Lan mượn bút nữa.
D. Thôi cô ạ, em nhường bạn Lan viết bút mực.",91,2.4825801849365234,11.972114871245452,80,2.9906983375549316,19.89957426046144,0.5081181526184082,7.927459389215986,1.6621603179114248,59,56,0.9491525423728814
QA_0268,QA,Các toán hạng được chứa trong chỉ thị như thế nào thì được gọi là giá trị tức thời?,các chỉ thị thực (như cộng hay so sánh),Các toán hạng được chứa trong chỉ thị ra sao thì được gọi là giá trị tức thời?,các chỉ thị thực (như cộng hay so sánh),PNN,Daily Conversation,high,e04e5ca5-c8e8-4484-a0aa-f9dc978b200c,0,finalized,qualification,QA_0268,Các toán hạng được chứa trong chỉ thị như thế nào thì được gọi là giá trị tức thời?,21,4.642796039581299,103.83426680146997,21,4.79886531829834,121.37262006432486,0.15606927871704102,17.538353262854898,1.1689071806746423,19,18,0.9473684210526315
