task,target_dialect,n,orig_len_mean,orig_len_median,orig_len_std,para_len_mean,para_len_median,para_len_std,length_ratio_mean,length_ratio_median,length_ratio_std
MCQA,PNB,100,53.03,52.5,17.818645891709657,53.11,52.5,17.843820196132867,1.001382544063885,1.0,0.014990415305283587
MCQA,PNN,100,53.03,52.5,17.818645891709657,52.62,52.5,17.83922587440329,0.9915451588296136,1.0,0.03230375230850085
MCQA,PNT1,100,53.03,52.5,17.818645891709657,52.9,52.5,17.81130046466075,0.9976121990223585,1.0,0.024423152923921106
MCQA,PNT2,100,53.03,52.5,17.818645891709657,52.82,53.0,17.794778487358066,0.9957785914327998,1.0,0.01834094366139928
MCQA,PNT3,100,53.03,52.5,17.818645891709654,52.53,52.0,17.781760601836087,0.9898838454735894,1.0,0.018039552684246434
MCQA,PNT4,100,53.03,52.5,17.818645891709657,52.8,52.5,17.93647601166884,0.9943021609265272,1.0,0.016841241375726176
NLI,PNB,100,17.69,17.0,6.553116307020144,17.71,17.5,6.5678971312949725,1.002303308292018,1.0,0.041986328748305386
NLI,PNN,100,17.69,17.0,6.553116307020144,17.41,17.0,6.484005184476893,0.986167259928567,1.0,0.04440334180000321
NLI,PNT1,100,17.69,17.0,6.553116307020144,17.69,17.0,6.605316193809499,0.9993712770467988,1.0,0.013093006097645389
NLI,PNT2,100,17.69,17.0,6.5531163070201455,17.8,18.0,6.599663291074443,1.0060917565979486,1.0,0.04381166643332265
NLI,PNT3,100,17.69,17.0,6.553116307020144,17.7,17.5,6.487750695804293,1.0084544007426393,1.0,0.12668959894483947
NLI,PNT4,100,17.69,17.0,6.553116307020145,17.43,17.0,6.394844830333289,0.9879765543894095,1.0,0.03285053874966089
QA,PNB,100,20.23,21.0,3.129704539577259,20.22,21.0,3.2210795605438767,0.999473576747806,1.0,0.03829555914442438
QA,PNN,100,20.23,21.0,3.1297045395772596,19.68,20.0,3.225153664806711,0.9725839015406454,1.0,0.04533121666916523
QA,PNT1,100,20.23,21.0,3.129704539577259,20.15,21.0,3.1152119437600794,0.9963469017910194,1.0,0.02120646894891507
QA,PNT2,100,20.23,21.0,3.1297045395772596,19.87,20.0,3.2087475136041173,0.9819588769910785,1.0,0.03529845492329625
QA,PNT3,100,20.23,21.0,3.1297045395772596,19.86,21.0,3.234973030034486,0.9816300648738796,1.0,0.04656346979362154
QA,PNT4,100,20.23,21.0,3.129704539577259,19.83,20.0,3.1303499659129024,0.9803035120448569,1.0,0.028004557369374312
SENT,PNB,100,30.29,26.0,16.120314682243194,29.6,26.0,15.935475955847505,0.9757195501217193,1.0,0.04422895064674872
SENT,PNN,100,30.29,26.0,16.120314682243194,29.89,25.5,15.999302383781512,0.9864887336008863,1.0,0.042417166154313124
SENT,PNT1,100,30.29,26.0,16.120314682243194,30.05,26.0,15.935079782566756,0.9932333829447215,1.0,0.03801315851774496
SENT,PNT2,100,30.29,26.0,16.120314682243194,29.78,25.5,16.19426260791585,0.9787472251176415,1.0,0.03767934577335101
SENT,PNT3,100,30.29,26.0,16.120314682243194,29.55,26.0,15.818653481880117,0.9771391715188851,1.0,0.06591935972698823
SENT,PNT4,100,30.29,26.0,16.12031468224319,29.83,26.0,16.078755040001187,0.9821081522235663,1.0,0.04031972900971947
