sample_id,task,original_text,hypothesis,dialect_text,label,target_dialect,domain,confidence,annotator_id,review_count,final_status,annotation_type,baseline_text,dialect_text_eval,orig_len,para_len,length_ratio,orig_n_tokens,orig_nll,orig_ppl,para_n_tokens,para_nll,para_ppl,delta_nll,delta_ppl,ratio_ppl
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",D,PNB,Daily Conversation,high,7e49e369-5b4e-4441-ba22-55eb0d6e2bdf,2,REVIEW_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",35,35,1.0,48,3.7522549629211426,42.6170736514718,48,3.7522549629211426,42.6170736514718,0.0,0.0,1.0
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đã phụ má một số công chuyện gì?
A. Chờ má đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho ba.
D. Trông em với hát ru em ngủ.",D,PNN,Daily Conversation,high,88759523-55db-4c51-872d-a8b43438fa82,2,REVIEW_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã phụ má một số công chuyện gì?
A. Chờ má đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho ba.
D. Trông em với hát ru em ngủ.",35,35,1.0,48,3.7522549629211426,42.6170736514718,48,4.358839511871338,78.16637062294565,0.6065845489501953,35.54929697147385,1.8341562178154422
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",D,PNT1,Daily Conversation,high,56164f4c-6810-404e-94aa-34d47c343da0,0,EXPERT_AUTO_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",35,35,1.0,48,3.7522549629211426,42.6170736514718,48,3.7522549629211426,42.6170736514718,0.0,0.0,1.0
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đạ giúp mẹ một số công việc chi?
A. Chờ mẹ đi mần về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ",D,PNT2,Daily Conversation,high,9bd8c7fb-25fa-4b2d-9c1d-ab9f97e7731e,1,EXPERT_REVIEW_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đạ giúp mẹ một số công việc chi?
A. Chờ mẹ đi mần về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ",35,35,1.0,48,3.7522549629211426,42.6170736514718,49,4.307772159576416,74.27483200705572,0.5555171966552734,31.657758355583923,1.742842143843225
MCQA_0013_3,MCQA,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.",Trông em và hát ru em ngủ.,"Hoa đã giúp mẹ một số công việc chi?
A. Chờ mẹ đi làm về.
B. Học với tập viết chăm chỉ.
C. Viết thư cho ba.
D. Trông em với hát ru em ngủ.",D,PNT3,Daily Conversation,high,88346002-a7b4-4be1-aec6-e1e3625416ee,2,REVIEW_PASS,rewrite,"Hoa đã giúp mẹ một số công việc gì?
A. Chờ mẹ đi làm về.
B. Học và tập viết chăm chỉ.
C. Viết thư cho bố.
D. Trông em và hát ru em ngủ.","Hoa đã giúp mẹ một số công việc chi?
A. Chờ mẹ đi làm về.
B. Học với tập viết chăm chỉ.
C. Viết thư cho ba.
D. Trông em với hát ru em ngủ.",35,35,1.0,48,3.7522549629211426,42.6170736514718,48,4.173837661743164,64.9642852855374,0.4215826988220215,22.3472116340656,1.5243722695937343
MCQA_0013_4,MCQA,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho bố vào lúc nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, còn mẹ thì chưa về.",D,PNB,Daily Conversation,high,7e49e369-5b4e-4441-ba22-55eb0d6e2bdf,2,REVIEW_PASS,rewrite,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho bố vào lúc nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, còn mẹ thì chưa về.",42,43,1.0238095238095237,65,2.8164100646972656,16.716730841361567,66,2.8711013793945312,17.65645394936593,0.054691314697265625,0.9397231080043618,1.056214526447913
MCQA_0013_4,MCQA,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho ba vào thời điểm nào?
A. Khi Hoa và má đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa mần xong bài tập.
D. Khi em Nụ đã ngủ, má chưa về.",D,PNN,Daily Conversation,high,d873b729-a53d-4068-8b04-cbab8be13616,0,EXPERT_AUTO_PASS,rewrite,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho ba vào thời điểm nào?
A. Khi Hoa và má đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa mần xong bài tập.
D. Khi em Nụ đã ngủ, má chưa về.",42,42,1.0,65,2.8164100646972656,16.716730841361567,66,3.0797278881073,21.752482481615026,0.2633178234100342,5.035751640253459,1.301240217841738
MCQA_0013_4,MCQA,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa viền.",D,PNT1,Daily Conversation,high,56164f4c-6810-404e-94aa-34d47c343da0,0,EXPERT_AUTO_PASS,rewrite,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa viền.",42,42,1.0,65,2.8164100646972656,16.716730841361567,66,2.9982378482818604,20.050174326069946,0.18182778358459473,3.333443484708379,1.1994076184118827
MCQA_0013_4,MCQA,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho bố vô thời điểm mô?
A. Khi Hoa và mẹ đạ ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa mần xong bài tập.
D. Khi em Nụ dạ ngủ, mẹ chưa về.",D,PNT2,Daily Conversation,high,7d958013-3acc-4719-a459-b3a565d57865,1,EXPERT_REVIEW_PASS,rewrite,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho bố vô thời điểm mô?
A. Khi Hoa và mẹ đạ ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa mần xong bài tập.
D. Khi em Nụ dạ ngủ, mẹ chưa về.",42,42,1.0,65,2.8164100646972656,16.716730841361567,67,3.6892950534820557,40.016627429660076,0.87288498878479,23.29989658829851,2.3938070074472018
MCQA_0013_4,MCQA,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho ba khi mô?
A. Khi Hoa với mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.",D,PNT3,Daily Conversation,high,60eb0c6c-808a-4dce-b64c-457d29ee614d,1,EXPERT_REVIEW_PASS,rewrite,"Hoa viết thư cho bố vào thời điểm nào?
A. Khi Hoa và mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.","Hoa viết thư cho ba khi mô?
A. Khi Hoa với mẹ đã ăn cơm xong.
B. Khi em Nụ đang chơi trong nôi.
C. Khi Hoa làm xong bài tập.
D. Khi em Nụ đã ngủ, mẹ chưa về.",42,40,0.9523809523809523,65,2.8164100646972656,16.716730841361567,63,3.224736452102661,25.146945857714417,0.4083263874053955,8.43021501635285,1.5042980649957163
