sample_id,dialects_present,n_dialects,has_all_six_dialects
MCQA_0002_4,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0004_3,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0010_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0010_3,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0012_0,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0012_5,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0013_3,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0013_4,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0014_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0016_0,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0016_5,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0018_4,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0018_6,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0020_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0020_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0025_10,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0025_9,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0030_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0030_3,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0036_5,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0037_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0037_4,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0039_4,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0041_5,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0041_7,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0042_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0042_7,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0043_3,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0043_4,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0047_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0047_4,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0048_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0048_5,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0051_0,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0051_4,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0055_0,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0055_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0056_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0056_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0058_0,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0060_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0060_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0062_0,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0062_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0064_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0065_2,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0065_5,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
MCQA_0069_1,"PNB,PNN,PNT1,PNT2,PNT3,PNT4",6,True
