task,target_dialect,n,orig_ppl_mean,orig_ppl_median,orig_ppl_std,para_ppl_mean,para_ppl_median,para_ppl_std,delta_ppl_mean,delta_ppl_median,delta_ppl_std,ratio_ppl_mean,ratio_ppl_median,ratio_ppl_std,orig_nll_mean,orig_nll_median,orig_nll_std,para_nll_mean,para_nll_median,para_nll_std,delta_nll_mean,delta_nll_median,delta_nll_std,orig_len_mean,orig_len_median,orig_len_std,para_len_mean,para_len_median,para_len_std,length_ratio_mean,length_ratio_median,length_ratio_std,delta_nll_bootstrap_ci_low,delta_nll_bootstrap_ci_high
MCQA,PNB,100,21.99755192037504,18.089652075871832,10.725902993145867,21.532888372864797,17.854144130080517,10.534494102376053,-0.46466354751024525,0.0,1.96339324379938,0.9820246034385585,1.0,0.08213986988379271,2.9867653369903566,2.8953137397766113,0.44924955529568206,2.965022392272949,2.882218599319458,0.450201447254807,-0.021742944717407228,0.0,0.08647552751212946,53.03,52.5,17.818645891709657,53.11,52.5,17.843820196132867,1.001382544063885,1.0,0.014990415305283587,-0.03874092411994934,-0.005804697096347809
MCQA,PNN,100,21.997551920375045,18.089652075871832,10.725902993145867,27.364342339785384,22.912160545041342,14.280919477009137,5.366790419410341,4.547339766461702,7.00819636329089,1.2594152249409232,1.2330362038292342,0.2742890014450462,2.9867653369903566,2.8953137397766113,0.44924955529568206,3.1950517225265505,3.131667733192444,0.47049140345032403,0.20828638553619386,0.20947837829589844,0.21064812866200264,53.03,52.5,17.818645891709657,52.62,52.5,17.83922587440329,0.9915451588296136,1.0,0.03230375230850085,0.16811393529176713,0.24893018674850462
MCQA,PNT1,100,21.99755192037504,18.089652075871832,10.725902993145867,34.41342771431951,27.476688608038955,21.395903003285735,12.415875793944473,8.705428697700256,15.058695756041772,1.5789240825044362,1.4156962464029386,0.6007015189977791,2.9867653369903566,2.8953137397766113,0.44924955529568206,3.392304744720459,3.313337564468384,0.5227160195445912,0.40553940773010255,0.34761083126068115,0.30363146302863453,53.03,52.5,17.818645891709657,52.9,52.5,17.81130046466075,0.9976121990223585,1.0,0.024423152923921106,0.34934746062755584,0.46451551109552386
MCQA,PNT2,100,21.997551920375045,18.089652075871832,10.725902993145867,36.71058937944615,31.655626583788564,19.966618551002423,14.713037459071113,10.367107350190256,11.983668312852771,1.6744752217150716,1.582595387766152,0.4624720516146172,2.9867653369903566,2.8953137397766113,0.44924955529568206,3.4689025902748107,3.454915404319763,0.5144722884341203,0.48213725328445434,0.4590613842010498,0.253456593404943,53.03,52.5,17.818645891709657,52.82,53.0,17.794778487358066,0.9957785914327998,1.0,0.01834094366139928,0.433274263381958,0.5312400925159455
MCQA,PNT3,100,21.99755192037504,18.089652075871832,10.725902993145867,36.64911324865128,30.290023900779,19.13637241029399,14.65156132827625,11.178002876962866,13.834846206080938,1.7371616030969022,1.5981754881829446,0.7855538196264258,2.9867653369903566,2.8953137397766113,0.44924955529568206,3.4879063081741335,3.410805583000183,0.4675576373841596,0.5011409711837769,0.4688609838485718,0.28415996174794034,53.03,52.5,17.818645891709654,52.53,52.0,17.781760601836087,0.9898838454735894,1.0,0.018039552684246434,0.4485039717555046,0.5590452453494071
MCQA,PNT4,100,21.99755192037504,18.089652075871832,10.725902993145867,30.890279661324843,25.9307263021401,16.71163755016504,8.892727740949805,6.138659796875828,10.320245320538286,1.4342816723270466,1.3141706390768182,0.43660266997321745,2.9867653369903566,2.8953137397766113,0.44924955529568206,3.3107783460617064,3.2554121017456055,0.47931841282517723,0.3240130090713501,0.2731863260269165,0.25961201647688464,53.03,52.5,17.818645891709657,52.8,52.5,17.93647601166884,0.9943021609265272,1.0,0.016841241375726176,0.27483840292692185,0.3771479116082191
NLI,PNB,100,132.42931149256242,55.64550073489676,343.9176988063512,118.58935544214235,45.16211950741505,329.61109943044266,-13.839956050420078,0.0,77.908819416315,0.9105205813834361,1.0,0.2389568903764337,4.1175518119335175,4.0189995765686035,0.961685768416131,3.979774125814438,3.810258150100708,0.9764990119736229,-0.1377776861190796,0.0,0.3251739533153714,17.69,17.0,6.553116307020144,17.71,17.5,6.5678971312949725,1.002303308292018,1.0,0.041986328748305386,-0.20427519011497497,-0.07740719777345659
NLI,PNN,100,132.42931149256242,55.64550073489676,343.9176988063512,231.1796165901038,85.76631100313858,791.0837046161287,98.75030509754137,25.87888996589519,553.9785911105389,1.882044912063167,1.5496021294285258,1.0592242274310464,4.1175518119335175,4.0189995765686035,0.9616857684161308,4.606874134540558,4.451620101928711,0.9474555220218149,0.4893223226070404,0.4379918575286865,0.5355882030262141,17.69,17.0,6.553116307020144,17.41,17.0,6.484005184476893,0.986167259928567,1.0,0.04440334180000321,0.3873499074876308,0.5938861490786075
NLI,PNT1,100,132.42931149256242,55.64550073489676,343.9176988063512,236.63916495499268,111.5059780978518,615.9923363473571,104.20985346243027,33.43947502181881,370.959349635121,2.2790538726675207,1.835225664187419,1.6885070841487582,4.1175518119335175,4.0189995765686035,0.961685768416131,4.730125825405121,4.714071273803711,1.0411557099495097,0.6125740134716033,0.6070911884307861,0.6288679467194568,17.69,17.0,6.553116307020144,17.69,17.0,6.605316193809499,0.9993712770467988,1.0,0.013093006097645389,0.4926451636254787,0.7348177699446677
NLI,PNT2,100,132.42931149256242,55.64550073489676,343.9176988063512,385.8554198868034,114.03461657787508,1693.4009006645256,253.42610839424094,47.91893609835549,1481.1776276513997,2.7068633295158673,2.062953672294028,2.2730170627445343,4.1175518119335175,4.0189995765686035,0.961685768416131,4.871937780380249,4.736494302749634,1.1018347628778025,0.7543859684467316,0.724008321762085,0.660227454315497,17.69,17.0,6.5531163070201455,17.8,18.0,6.599663291074443,1.0060917565979486,1.0,0.04381166643332265,0.62945310485363,0.8882217451632022
