sample_id,task,target_dialect,opcode,opcode_seq,standard_span,dialect_span,standard_span_len,dialect_span_len,is_known,match_direction,category,lexicon_standard_word,lexicon_region_column,delta_nll,delta_ppl,orig_nll,para_nll,kept_in_analysis
MCQA_0013_3,MCQA,PNN,replace,0,giúp mẹ,phụ má,2,2,False,none,Kinship/Honorific terms,,,0.6065845489501953,35.54929697147385,3.7522549629211426,4.358839511871338,True
MCQA_0013_3,MCQA,PNN,replace,1,việc,chuyện,1,1,False,none,Predicate vocabulary,,,0.6065845489501953,35.54929697147385,3.7522549629211426,4.358839511871338,True
MCQA_0013_3,MCQA,PNN,replace,2,mẹ,má,1,1,False,none,Kinship/Honorific terms,,,0.6065845489501953,35.54929697147385,3.7522549629211426,4.358839511871338,True
MCQA_0013_3,MCQA,PNN,replace,3,bố,ba,1,1,False,none,Kinship/Honorific terms,,,0.6065845489501953,35.54929697147385,3.7522549629211426,4.358839511871338,True
MCQA_0013_3,MCQA,PNN,replace,4,và,với,1,1,False,none,Connectives/Aspect markers,,,0.6065845489501953,35.54929697147385,3.7522549629211426,4.358839511871338,True
MCQA_0013_3,MCQA,PNT2,replace,0,đã,đạ,1,1,True,dialect_phrase,Connectives/Aspect markers,đã,HaTinh_QB_QT,0.5555171966552734,31.657758355583923,3.7522549629211426,4.307772159576416,True
MCQA_0013_3,MCQA,PNT2,replace,1,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì,HaTinh_QB_QT; NgheAn,0.5555171966552734,31.657758355583923,3.7522549629211426,4.307772159576416,True
MCQA_0013_3,MCQA,PNT2,replace,2,làm,mần,1,1,True,dialect_phrase,Predicate vocabulary,làm,HaTinh_QB_QT,0.5555171966552734,31.657758355583923,3.7522549629211426,4.307772159576416,True
MCQA_0013_3,MCQA,PNT3,replace,0,gì,chi,1,1,True,dialect_phrase,Interrogatives,gì; sao / thế nào,HaTinh_QB_QT; Hue,0.4215826988220215,22.3472116340656,3.7522549629211426,4.173837661743164,True
MCQA_0013_3,MCQA,PNT3,replace,1,và,với,1,1,False,none,Connectives/Aspect markers,,,0.4215826988220215,22.3472116340656,3.7522549629211426,4.173837661743164,True
MCQA_0013_3,MCQA,PNT3,replace,2,bố,ba,1,1,True,standard_word,Kinship/Honorific terms,bọ; ôn,HaTinh_QB_QT; Hue,0.4215826988220215,22.3472116340656,3.7522549629211426,4.173837661743164,True
MCQA_0013_3,MCQA,PNT3,replace,3,và,với,1,1,False,none,Connectives/Aspect markers,,,0.4215826988220215,22.3472116340656,3.7522549629211426,4.173837661743164,True
MCQA_0013_4,MCQA,PNB,replace,0,thời điểm,lúc,2,1,False,none,Connectives/Aspect markers,,,0.0546913146972656,0.9397231080043618,2.8164100646972656,2.8711013793945312,True
MCQA_0013_4,MCQA,PNB,insert,1,,còn,0,1,False,none,Unknown,,,0.0546913146972656,0.9397231080043618,2.8164100646972656,2.8711013793945312,False
MCQA_0013_4,MCQA,PNB,insert,2,,thì,0,1,False,none,Unknown,,,0.0546913146972656,0.9397231080043618,2.8164100646972656,2.8711013793945312,False
MCQA_0013_4,MCQA,PNN,replace,0,bố,ba,1,1,False,none,Kinship/Honorific terms,,,0.2633178234100342,5.035751640253459,2.8164100646972656,3.0797278881073,True
MCQA_0013_4,MCQA,PNN,replace,1,mẹ,má,1,1,False,none,Kinship/Honorific terms,,,0.2633178234100342,5.035751640253459,2.8164100646972656,3.0797278881073,True
MCQA_0013_4,MCQA,PNN,replace,2,làm,mần,1,1,True,standard_word,Predicate vocabulary,làm,NamBo,0.2633178234100342,5.035751640253459,2.8164100646972656,3.0797278881073,True
MCQA_0013_4,MCQA,PNN,replace,3,mẹ,má,1,1,False,none,Kinship/Honorific terms,,,0.2633178234100342,5.035751640253459,2.8164100646972656,3.0797278881073,True
MCQA_0013_4,MCQA,PNT1,replace,0,về,viền,1,1,True,dialect_phrase,Predicate vocabulary,về,ThanhHoa,0.1818277835845947,3.333443484708379,2.8164100646972656,2.9982378482818604,True
MCQA_0013_4,MCQA,PNT2,replace,0,vào,vô,1,1,False,none,Connectives/Aspect markers,,,0.87288498878479,23.29989658829851,2.8164100646972656,3.689295053482056,True
MCQA_0013_4,MCQA,PNT2,replace,1,nào,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn,0.87288498878479,23.29989658829851,2.8164100646972656,3.689295053482056,False
MCQA_0013_4,MCQA,PNT2,replace,2,đã,đạ,1,1,True,dialect_phrase,Connectives/Aspect markers,đã,HaTinh_QB_QT,0.87288498878479,23.29989658829851,2.8164100646972656,3.689295053482056,True
MCQA_0013_4,MCQA,PNT2,replace,3,làm,mần,1,1,True,dialect_phrase,Predicate vocabulary,làm,HaTinh_QB_QT,0.87288498878479,23.29989658829851,2.8164100646972656,3.689295053482056,True
MCQA_0013_4,MCQA,PNT2,replace,4,đã,dạ,1,1,True,standard_word,Connectives/Aspect markers,đạ,HaTinh_QB_QT,0.87288498878479,23.29989658829851,2.8164100646972656,3.689295053482056,True
MCQA_0013_4,MCQA,PNT3,replace,0,bố vào thời điểm nào,ba khi mô,5,3,False,none,Kinship/Honorific terms,,,0.4083263874053955,8.43021501635285,2.8164100646972656,3.224736452102661,True
MCQA_0013_4,MCQA,PNT3,replace,1,và,với,1,1,False,none,Connectives/Aspect markers,,,0.4083263874053955,8.43021501635285,2.8164100646972656,3.224736452102661,True
MCQA_0014_1,MCQA,PNN,replace,0,bố,ba,1,1,False,none,Kinship/Honorific terms,,,0.1722626686096191,4.281043282676709,3.1255640983581543,3.2978267669677734,True
MCQA_0014_1,MCQA,PNT1,replace,0,đâu,mô,1,1,True,dialect_phrase,Negation/Function words,đâu (phủ định),ThanhHoa,1.6929850578308103,101.01262966718735,3.1255640983581543,4.818549156188965,True
MCQA_0014_1,MCQA,PNT1,replace,1,mùa hè,mù hiè,2,2,False,none,Orthographic variant,,,1.6929850578308103,101.01262966718735,3.1255640983581543,4.818549156188965,False
MCQA_0014_1,MCQA,PNT1,replace,2,chùa,chù,1,1,False,none,Orthographic variant,,,1.6929850578308103,101.01262966718735,3.1255640983581543,4.818549156188965,False
MCQA_0014_1,MCQA,PNT1,replace,3,leo,lieo,1,1,False,none,Orthographic variant,,,1.6929850578308103,101.01262966718735,3.1255640983581543,4.818549156188965,False
MCQA_0014_1,MCQA,PNT1,replace,4,biển,bỉn,1,1,False,none,Orthographic variant,,,1.6929850578308103,101.01262966718735,3.1255640983581543,4.818549156188965,False
MCQA_0014_1,MCQA,PNT2,replace,0,đâu,mô,1,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; NgheAn,0.4697184562683105,13.65325333134552,3.1255640983581543,3.595282554626465,False
MCQA_0014_1,MCQA,PNT3,replace,0,cùng bố,với bọ,2,2,False,none,Kinship/Honorific terms,,,0.8505010604858398,30.534129422405332,3.1255640983581543,3.976065158843994,True
MCQA_0014_1,MCQA,PNT3,replace,1,đâu vào,mô,2,1,True,dialect_phrase,Interrogatives; Negation/Function words,đâu (phủ định); đâu / nào,HaTinh_QB_QT; Hue,0.8505010604858398,30.534129422405332,3.1255640983581543,3.976065158843994,False
MCQA_0014_1,MCQA,PNT3,replace,2,rừng,rú,1,1,False,none,Predicate vocabulary,,,0.8505010604858398,30.534129422405332,3.1255640983581543,3.976065158843994,True
MCQA_0016_0,MCQA,PNB,insert,0,,để,0,1,False,none,Unknown,,,-0.0683443546295166,-0.8062376918217868,2.5017971992492676,2.433452844619751,False
