standard_span,dialect_span,n_occurrences,is_shared_across_dialects,tasks,sample_ids,dialect,CATEGORY,NOTES
vào,vô,29,True,"MCQA, NLI, QA, SENT",MCQA_0016_0; MCQA_0047_2; MCQA_0091_0; MCQA_0091_1; MCQA_0095_1,PNT4,Connectives/Aspect markers,vào->vô preposition/aspect marker per dialect notes
như thế nào,ra ren,22,False,"MCQA, QA, SENT",MCQA_0020_2; MCQA_0058_0; MCQA_0065_2; MCQA_0090_10; MCQA_0095_1,PNT4,Interrogatives,như thế nào->ra ren per dialect notes
đến,tới,17,True,"MCQA, NLI, QA, SENT",MCQA_0037_4; MCQA_0055_0; MCQA_0065_2; MCQA_0087_0; MCQA_0092_2,PNT4,Predicate vocabulary,đến->tới motion verb per dialect notes
các,mấy,10,True,"MCQA, NLI, QA",MCQA_0062_0; MCQA_0072_2; MCQA_0092_2; MCQA_0137_1; NLI_3951,PNT4,Predicate vocabulary,"plural classifier/quantifier substitution, content word"
những,mấy,7,True,"MCQA, NLI, QA, SENT",MCQA_0002_4; MCQA_0072_2; MCQA_0137_1; MCQA_0141_2; NLI_6110,PNT4,Predicate vocabulary,"plural marker substitution, quantifier content word"
chứ,chớ,7,True,SENT,SENT_0343; SENT_1146; SENT_3750; SENT_3910; SENT_4057,PNT4,Discourse particles,sentence-final/discourse particle chứ->chớ
thật,thiệt,6,False,SENT,SENT_3750; SENT_4155; SENT_4733; SENT_4768; SENT_5315,PNT4,Predicate vocabulary,adverb/adjective thật->thiệt
việc,chuyện,5,True,"MCQA, NLI, SENT",MCQA_0072_2; NLI_7858; SENT_2727; SENT_4959,PNT4,Predicate vocabulary,noun synonym việc->chuyện
nhé,nghe,5,False,"MCQA, SENT",MCQA_0037_2; MCQA_0138_3; SENT_1192; SENT_2129; SENT_2473,PNT4,Discourse particles,nhé->nghe per dialect notes
bạn nhỏ,thằng cu,5,False,MCQA,MCQA_0064_1,PNT4,Kinship/Honorific terms,address term for a small child
và,với,4,True,"MCQA, NLI, QA",MCQA_0013_3; NLI_6110; QA_20004,PNT4,Connectives/Aspect markers,conjunction và->với
rằng,là,4,True,NLI,NLI_1921; NLI_4746; NLI_4856; NLI_7469,PNT4,Connectives/Aspect markers,complementizer rằng->là
vì,tại/do,4,False,MCQA,MCQA_0012_5,PNT4,Connectives/Aspect markers,causal conjunction vì->tại/do
cậu,hắn,4,False,MCQA,MCQA_0120_3,PNT4,Pronouns,personal pronoun cậu->hắn
cậu,thằng nớ,4,False,MCQA,MCQA_0077_0,PNT4,Pronouns,personal pronoun cậu->thằng nớ
lão,già,4,False,MCQA,MCQA_0091_1,PNT4,Predicate vocabulary,noun synonym lão->già
nhìn,ngó,3,True,"MCQA, SENT",MCQA_0114_6; MCQA_0123_0; SENT_2148,PNT4,Predicate vocabulary,verb synonym nhìn->ngó
tại,ở,2,True,QA,QA_12824; QA_22620,PNT4,Connectives/Aspect markers,preposition tại->ở
lạ,cục,2,False,MCQA,MCQA_0047_4,PNT4,Predicate vocabulary,adjective/intensifier lạ->cục
quá,kinh,2,False,"MCQA, SENT",MCQA_0047_2; SENT_3023,PNT4,Discourse particles,quá->kinh intensifier per dialect notes
một số,mấy,2,True,"NLI, QA",NLI_3048; QA_17926,PNT4,Predicate vocabulary,quantifier một số->mấy
