standard_span,dialect_span,n_occurrences,is_shared_across_dialects,tasks,sample_ids,dialect,CATEGORY,NOTES
vào,vô,54,True,"MCQA, NLI, QA, SENT",MCQA_0016_0; MCQA_0041_5; MCQA_0047_2; MCQA_0091_1; MCQA_0095_1,PNT3,Predicate vocabulary,
và,với,29,True,"MCQA, NLI, QA, SENT",MCQA_0012_5; MCQA_0013_3; MCQA_0013_4; MCQA_0036_5; MCQA_0048_2,PNT3,Connectives/Aspect markers,
các,mấy,26,True,"MCQA, NLI, QA, SENT",MCQA_0062_0; MCQA_0062_2; MCQA_0065_5; MCQA_0077_0; MCQA_0092_1,PNT3,Pronouns,
những,mấy,14,True,"MCQA, NLI, QA, SENT",MCQA_0064_1; MCQA_0072_2; MCQA_0116_5; MCQA_0126_2; MCQA_0137_1,PNT3,Pronouns,
mình,miềng,8,False,"MCQA, NLI, QA, SENT",MCQA_0025_10; MCQA_0042_7; MCQA_0048_2; NLI_0521; QA_5750,PNT3,Pronouns,
và,rồi,7,True,"MCQA, NLI",MCQA_0037_2; MCQA_0060_2; MCQA_0095_1; MCQA_0138_5; NLI_0511,PNT3,Connectives/Aspect markers,
bát nào,chén mô,4,False,MCQA,MCQA_0036_5,PNT3,Interrogatives,[reclassified from Multi-word idiom -> Interrogatives]
rằng,là,4,True,"NLI, QA",NLI_1921; NLI_7826; QA_13818; QA_15627,PNT3,Connectives/Aspect markers,
đến,tới,4,True,"MCQA, NLI",MCQA_0064_1; MCQA_0087_0; MCQA_0126_2; NLI_0959,PNT3,Predicate vocabulary,
chúng,bọn,4,True,MCQA,MCQA_0062_0; MCQA_0148_3,PNT3,Pronouns,
nước,nác,3,True,MCQA,MCQA_0116_5; MCQA_0151_1; MCQA_0151_3,PNT3,Orthographic variant,
bảo,nói,3,False,MCQA,MCQA_0025_9; MCQA_0074_5; MCQA_0128_2,PNT3,Predicate vocabulary,
đường,đàng,3,False,"QA, SENT",QA_6664; SENT_3243; SENT_5456,PNT3,Orthographic variant,
cậu,thằng,3,True,MCQA,MCQA_0036_5; MCQA_0120_3; MCQA_0120_7,PNT3,Pronouns,
mới,mì,3,False,NLI,NLI_3269; NLI_3719; NLI_5704,PNT3,Orthographic variant,
muốn,ưng,3,False,SENT,SENT_1222; SENT_4809; SENT_4885,PNT3,Predicate vocabulary,
