standard_span,dialect_span,n_occurrences,is_shared_across_dialects,tasks,sample_ids,dialect,CATEGORY,NOTES
gì,chi,43,False,"MCQA, NLI, QA, SENT",MCQA_0004_3; MCQA_0010_3; MCQA_0018_4; MCQA_0030_1; MCQA_0030_3,PNT1,Interrogatives,
có,cúa,27,False,"MCQA, NLI, QA, SENT",MCQA_0018_4; MCQA_0137_1; MCQA_0144_0; MCQA_0147_4; MCQA_0152_0,PNT1,Orthographic variant,
đã,đả,21,False,"MCQA, NLI, QA",MCQA_0004_3; NLI_0521; NLI_0647; NLI_4654; NLI_5733,PNT1,Orthographic variant,
cho,chua,17,False,"MCQA, NLI, QA, SENT",MCQA_0120_7; MCQA_0138_3; MCQA_0140_3; MCQA_0142_1; MCQA_0144_0,PNT1,Predicate vocabulary,
thế nào,răng,16,False,"MCQA, QA, SENT",MCQA_0058_0; MCQA_0095_1; QA_11800; QA_1203; QA_12824,PNT1,Interrogatives,
vào,vô,12,True,"MCQA, NLI, SENT",MCQA_0041_5; MCQA_0091_0; MCQA_0091_1; MCQA_0095_1; MCQA_0096_0,PNT1,Orthographic variant,
mày,mi,11,False,SENT,SENT_2515; SENT_3520; SENT_3670; SENT_4737; SENT_4768,PNT1,Pronouns,
con,coan,10,False,MCQA,MCQA_0010_3; MCQA_0030_3; MCQA_0039_4; MCQA_0043_3; MCQA_0043_4,PNT1,Orthographic variant,
không,chả,10,False,"NLI, SENT",NLI_0028; NLI_1749; NLI_2559; NLI_2615; NLI_4217,PNT1,Negation/Function words,
sao,răng,10,False,"MCQA, NLI, SENT",MCQA_0074_5; MCQA_0074_6; MCQA_0077_0; MCQA_0081_4; MCQA_0100_1,PNT1,Interrogatives,
có,cóa,8,False,"MCQA, SENT",MCQA_0030_1; MCQA_0042_2; SENT_0237; SENT_0462,PNT1,Orthographic variant,
như thế nào,răng,7,True,"MCQA, SENT",MCQA_0018_4; MCQA_0018_6; MCQA_0025_9; MCQA_0036_5; MCQA_0041_5,PNT1,Interrogatives,
con,cuôn,7,False,"MCQA, NLI, QA, SENT",MCQA_0137_1; MCQA_0151_1; NLI_5704; QA_6664; SENT_0192,PNT1,Orthographic variant,
như thế nào,ra răng,6,True,MCQA,MCQA_0064_1; MCQA_0065_2; MCQA_0081_3; MCQA_0090_10; MCQA_0090_6,PNT1,Interrogatives,
nói,nuối,6,False,"MCQA, QA, SENT",MCQA_0037_2; MCQA_0037_4; MCQA_0041_7; QA_27033; SENT_0237,PNT1,Orthographic variant,
vậy,rứa,5,False,"MCQA, NLI, SENT",MCQA_0016_5; MCQA_0060_2; NLI_3211; NLI_4616; SENT_4861,PNT1,Demonstratives/Deixis,
xem,coi,5,True,"MCQA, NLI",MCQA_0114_1; MCQA_0114_6; NLI_2899,PNT1,Predicate vocabulary,
nó,hấn,4,False,"NLI, SENT",NLI_5704; SENT_1410; SENT_2816; SENT_3249,PNT1,Pronouns,
dẫn,dắt,4,True,MCQA,MCQA_0064_1,PNT1,Orthographic variant,
họ,bọn hấn,4,False,MCQA,MCQA_0043_4,PNT1,Pronouns,
với,ví,4,False,MCQA,MCQA_0126_2; MCQA_0138_5; MCQA_0142_1; MCQA_0147_4,PNT1,Orthographic variant,
lười,nhác,4,False,MCQA,MCQA_0041_7,PNT1,Predicate vocabulary,
gì,cấy chi,4,False,"MCQA, QA",MCQA_0120_3; MCQA_0128_2; QA_17769; QA_18652,PNT1,Interrogatives,
đâu,đi mô,4,False,MCQA,MCQA_0051_0,PNT1,Interrogatives,
và,ví,3,False,MCQA,MCQA_0123_6; MCQA_0128_1,PNT1,Connectives/Aspect markers,
mình,tau,3,False,SENT,SENT_2816; SENT_4057; SENT_4745,PNT1,Pronouns,
chó con,chóa coan,3,False,MCQA,MCQA_0010_1; MCQA_0010_3,PNT1,Orthographic variant,
viết,vít,3,False,"MCQA, SENT",MCQA_0025_10; SENT_0462,PNT1,Orthographic variant,
điểm,đỉm,3,False,"MCQA, NLI",MCQA_0137_1; NLI_0337; NLI_2313,PNT1,Orthographic variant,
cha,bố,3,False,"MCQA, SENT",MCQA_0010_1; MCQA_0144_0; SENT_3067,PNT1,Kinship/Honorific terms,
không,nỏ,3,False,MCQA,MCQA_0123_6; MCQA_0128_1,PNT1,Negation/Function words,
