sample_id,task,target_dialect,standard_span,dialect_span,category,nll_baseline,nll_swapped,delta_nll_swap
MCQA_0013_3,MCQA,PNN,giúp mẹ,phụ má,Kinship/Honorific terms,3.752254486083984,3.9804277420043945,0.2281732559204101
MCQA_0013_3,MCQA,PNN,việc,chuyện,Predicate vocabulary,3.752254486083984,3.976022243499756,0.2237677574157714
MCQA_0013_3,MCQA,PNN,mẹ,má,Kinship/Honorific terms,3.752254486083984,3.861785888671875,0.1095314025878906
MCQA_0013_3,MCQA,PNN,bố,ba,Kinship/Honorific terms,3.752254486083984,3.796912670135498,0.0446581840515136
MCQA_0013_3,MCQA,PNN,và,với,Connectives/Aspect markers,3.752254486083984,3.8742754459381104,0.1220209598541259
MCQA_0013_3,MCQA,PNT2,đã,đạ,Connectives/Aspect markers,3.752254486083984,4.015171527862549,0.2629170417785644
MCQA_0013_3,MCQA,PNT2,gì,chi,Interrogatives,3.752254486083984,4.007105827331543,0.2548513412475586
MCQA_0013_3,MCQA,PNT2,làm,mần,Predicate vocabulary,3.752254486083984,3.9182965755462646,0.1660420894622802
MCQA_0013_3,MCQA,PNT3,gì,chi,Interrogatives,3.752254486083984,4.007105827331543,0.2548513412475586
MCQA_0013_3,MCQA,PNT3,và,với,Connectives/Aspect markers,3.752254486083984,3.8742754459381104,0.1220209598541259
MCQA_0013_3,MCQA,PNT3,bố,ba,Kinship/Honorific terms,3.752254486083984,3.796912670135498,0.0446581840515136
MCQA_0013_3,MCQA,PNT3,và,với,Connectives/Aspect markers,3.752254486083984,3.8742754459381104,0.1220209598541259
MCQA_0013_4,MCQA,PNB,thời điểm,lúc,Connectives/Aspect markers,2.81641149520874,2.8319268226623535,0.0155153274536132
MCQA_0013_4,MCQA,PNN,bố,ba,Kinship/Honorific terms,2.81641149520874,2.8450264930725098,0.0286149978637695
MCQA_0013_4,MCQA,PNN,mẹ,má,Kinship/Honorific terms,2.81641149520874,2.9450936317443848,0.1286821365356445
MCQA_0013_4,MCQA,PNN,làm,mần,Predicate vocabulary,2.81641149520874,2.909234523773194,0.0928230285644531
MCQA_0013_4,MCQA,PNN,mẹ,má,Kinship/Honorific terms,2.81641149520874,2.9450936317443848,0.1286821365356445
MCQA_0013_4,MCQA,PNT1,về,viền,Predicate vocabulary,2.81641149520874,2.998239517211914,0.1818280220031738
MCQA_0013_4,MCQA,PNT2,vào,vô,Connectives/Aspect markers,2.81641149520874,2.978011131286621,0.1615996360778808
MCQA_0013_4,MCQA,PNT2,đã,đạ,Connectives/Aspect markers,2.81641149520874,3.0875887870788574,0.2711772918701172
MCQA_0013_4,MCQA,PNT2,làm,mần,Predicate vocabulary,2.81641149520874,2.909234523773194,0.0928230285644531
MCQA_0013_4,MCQA,PNT2,đã,dạ,Connectives/Aspect markers,2.81641149520874,2.964968681335449,0.1485571861267089
MCQA_0013_4,MCQA,PNT3,bố vào thời điểm nào,ba khi mô,Kinship/Honorific terms,2.81641149520874,3.1515276432037354,0.3351161479949951
MCQA_0013_4,MCQA,PNT3,và,với,Connectives/Aspect markers,2.81641149520874,3.056741952896118,0.2403304576873779
MCQA_0014_1,MCQA,PNN,bố,ba,Kinship/Honorific terms,3.125565528869629,3.262056589126587,0.136491060256958
MCQA_0014_1,MCQA,PNT1,đâu,mô,Negation/Function words,3.125565528869629,3.5952837467193604,0.4697182178497314
MCQA_0014_1,MCQA,PNT3,cùng bố,với bọ,Kinship/Honorific terms,3.125565528869629,3.434992790222168,0.309427261352539
MCQA_0014_1,MCQA,PNT3,rừng,rú,Predicate vocabulary,3.125565528869629,3.4261832237243652,0.3006176948547363
MCQA_0016_0,MCQA,PNB,dịu cơn,đỡ,Predicate vocabulary,2.5017971992492676,2.490069627761841,-0.0117275714874267
MCQA_0016_0,MCQA,PNN,vào,vô,Connectives/Aspect markers,2.5017971992492676,2.6457607746124268,0.1439635753631591
MCQA_0016_0,MCQA,PNN,hoa,bông,Predicate vocabulary,2.5017971992492676,2.504236936569214,0.0024397373199462
MCQA_0016_0,MCQA,PNN,vào,hồi,Connectives/Aspect markers,2.5017971992492676,2.648508071899414,0.1467108726501464
MCQA_0016_0,MCQA,PNN,hoa,bông,Predicate vocabulary,2.5017971992492676,2.504236936569214,0.0024397373199462
MCQA_0016_0,MCQA,PNN,mẹ,má,Kinship/Honorific terms,2.5017971992492676,2.619826555252075,0.1180293560028076
MCQA_0016_0,MCQA,PNN,hoa,bông,Predicate vocabulary,2.5017971992492676,2.504236936569214,0.0024397373199462
MCQA_0016_0,MCQA,PNN,bố,ba,Kinship/Honorific terms,2.5017971992492676,2.589646816253662,0.0878496170043945
MCQA_0016_0,MCQA,PNN,bố,ba,Kinship/Honorific terms,2.5017971992492676,2.589646816253662,0.0878496170043945
MCQA_0016_0,MCQA,PNT1,gì,cái chi,Interrogatives,2.5017971992492676,2.782905101776123,0.2811079025268554
MCQA_0016_0,MCQA,PNT1,dịu,bớt,Predicate vocabulary,2.5017971992492676,2.468648672103882,-0.0331485271453857
MCQA_0016_0,MCQA,PNT2,vào,vô,Connectives/Aspect markers,2.5017971992492676,2.6457607746124268,0.1439635753631591
MCQA_0016_0,MCQA,PNT2,làm gì vào,mần chi,Interrogatives,2.5017971992492676,2.7901077270507812,0.2883105278015136
MCQA_0016_0,MCQA,PNT2,vì,tại,Connectives/Aspect markers,2.5017971992492676,2.6154253482818604,0.1136281490325927
MCQA_0016_5,MCQA,PNT1,vậy,rứa,Demonstratives/Deixis,2.882951259613037,2.946091890335083,0.0631406307220459
MCQA_0016_5,MCQA,PNT2,đã,đạ,Connectives/Aspect markers,2.882951259613037,3.1560890674591064,0.2731378078460693
MCQA_0016_5,MCQA,PNT2,gì,chi,Interrogatives,2.882951259613037,3.063002109527588,0.1800508499145507
MCQA_0016_5,MCQA,PNT2,như vậy,a rứa,Demonstratives/Deixis,2.882951259613037,3.0033164024353027,0.1203651428222656
MCQA_0016_5,MCQA,PNT2,nay,ni,Demonstratives/Deixis,2.882951259613037,3.120155334472656,0.2372040748596191
MCQA_0016_5,MCQA,PNT2,nhỉ,hè,Discourse particles,2.882951259613037,3.0105135440826416,0.1275622844696045
MCQA_0016_5,MCQA,PNT3,gì,chi,Interrogatives,2.882951259613037,3.063002109527588,0.1800508499145507
MCQA_0016_5,MCQA,PNT3,vậy,rứa,Demonstratives/Deixis,2.882951259613037,2.946091890335083,0.0631406307220459
MCQA_0016_5,MCQA,PNT3,nay,ni,Demonstratives/Deixis,2.882951259613037,3.120155334472656,0.2372040748596191
MCQA_0016_5,MCQA,PNT3,nhỉ,hè,Discourse particles,2.882951259613037,3.0105135440826416,0.1275622844696045
MCQA_0018_4,MCQA,PNN,khi,lúc,Connectives/Aspect markers,2.274907350540161,2.3288114070892334,0.0539040565490722
MCQA_0018_4,MCQA,PNN,thông tin,chuyện,Predicate vocabulary,2.274907350540161,2.2606301307678223,-0.0142772197723388
MCQA_0018_4,MCQA,PNN,không,hông,Negation/Function words,2.274907350540161,2.3664064407348633,0.0914990901947021
MCQA_0018_4,MCQA,PNN,như thế nào,sao,Interrogatives,2.274907350540161,2.348219871520996,0.0733125209808349
MCQA_0018_4,MCQA,PNN,không,hông,Negation/Function words,2.274907350540161,2.3664064407348633,0.0914990901947021
MCQA_0018_4,MCQA,PNN,không,hông,Negation/Function words,2.274907350540161,2.3664064407348633,0.0914990901947021
MCQA_0018_4,MCQA,PNN,không,hông,Negation/Function words,2.274907350540161,2.3664064407348633,0.0914990901947021
MCQA_0018_4,MCQA,PNT1,như thế nào,răng,Interrogatives,2.274907350540161,2.5120909214019775,0.2371835708618164
MCQA_0018_4,MCQA,PNT1,gì,chi,Interrogatives,2.274907350540161,2.4148988723754883,0.1399915218353271
MCQA_0018_4,MCQA,PNT2,như thế nào,a răng,Interrogatives,2.274907350540161,2.543201446533203,0.268294095993042
MCQA_0018_4,MCQA,PNT2,gì,chi,Interrogatives,2.274907350540161,2.4148988723754883,0.1399915218353271
MCQA_0018_6,MCQA,PNN,các,mấy,Negation/Function words,2.888059139251709,2.9839673042297363,0.0959081649780273
MCQA_0018_6,MCQA,PNN,không,hông,Negation/Function words,2.888059139251709,2.904100179672241,0.0160410404205322
MCQA_0018_6,MCQA,PNN,cáu,quạu,Predicate vocabulary,2.888059139251709,2.99039626121521,0.1023371219635009
MCQA_0018_6,MCQA,PNT1,như thế nào,răng,Interrogatives,2.888059139251709,3.157296895980835,0.269237756729126
MCQA_0018_6,MCQA,PNT2,các,mấy,Negation/Function words,2.888059139251709,2.9839673042297363,0.0959081649780273
MCQA_0018_6,MCQA,PNT2,như thế nào,a răng,Interrogatives,2.888059139251709,3.1927402019500732,0.3046810626983642
MCQA_0018_6,MCQA,PNT2,không,nỏ,Negation/Function words,2.888059139251709,2.963796854019165,0.075737714767456
MCQA_0018_6,MCQA,PNT3,các vị,mấy người,Pronouns,2.888059139251709,3.0030553340911865,0.1149961948394775
MCQA_0018_6,MCQA,PNT3,thế nào,răng,Interrogatives,2.888059139251709,3.150301933288574,0.2622427940368652
MCQA_0018_6,MCQA,PNT3,cáu,đóa,Predicate vocabulary,2.888059139251709,2.974482774734497,0.086423635482788
MCQA_0020_1,MCQA,PNB,thời,tuổi,Predicate vocabulary,3.667692184448242,3.573915481567383,-0.0937767028808593
MCQA_0020_1,MCQA,PNN,tôi,tui,Pronouns,3.667692184448242,3.779271125793457,0.1115789413452148
MCQA_0020_1,MCQA,PNT1,ấy,nứ,Demonstratives/Deixis,3.667692184448242,3.893706798553467,0.2260146141052246
MCQA_0020_1,MCQA,PNT2,gì đã,chi đạ,Interrogatives,3.667692184448242,4.250094890594482,0.5824027061462402
MCQA_0020_1,MCQA,PNT3,gì đã,chi đạ,Interrogatives,3.667692184448242,4.250094890594482,0.5824027061462402
MCQA_0020_2,MCQA,PNT2,thế nào,răng,Interrogatives,3.2736313343048096,3.616823673248291,0.3431923389434814
MCQA_0020_2,MCQA,PNT2,lớn,to,Predicate vocabulary,3.2736313343048096,3.701259851455689,0.4276285171508789
MCQA_0020_2,MCQA,PNT3,cây,cơn,Predicate vocabulary,3.2736313343048096,3.3060109615325928,0.0323796272277832
MCQA_0020_2,MCQA,PNT3,thế nào,răng,Interrogatives,3.2736313343048096,3.616823673248291,0.3431923389434814
MCQA_0020_2,MCQA,PNT3,lớn,to,Predicate vocabulary,3.2736313343048096,3.701259851455689,0.4276285171508789
MCQA_0020_2,MCQA,PNT4,miêu,mô,Interrogatives,3.2736313343048096,3.3358185291290283,0.0621871948242187
MCQA_0020_2,MCQA,PNT4,như thế nào,ra ren,Interrogatives,3.2736313343048096,3.7530171871185303,0.4793858528137207
MCQA_0020_2,MCQA,PNT4,cả,nguyên,Negation/Function words,3.2736313343048096,3.4095828533172607,0.1359515190124511
MCQA_0020_2,MCQA,PNT4,lớn,to,Predicate vocabulary,3.2736313343048096,3.701259851455689,0.4276285171508789
MCQA_0025_10,MCQA,PNT1,nói gì,nuối chi,Interrogatives,2.482580184936523,2.665266275405884,0.1826860904693603
MCQA_0025_10,MCQA,PNT4,gì,chi,Interrogatives,2.482580184936523,2.574687957763672,0.0921077728271484
MCQA_0025_9,MCQA,PNN,khi,lúc,Connectives/Aspect markers,3.2294554710388184,3.260777235031128,0.0313217639923095
MCQA_0025_9,MCQA,PNN,định,tính,Predicate vocabulary,3.2294554710388184,3.3442282676696777,0.1147727966308593
MCQA_0025_9,MCQA,PNT1,như thế nào,răng,Interrogatives,3.2294554710388184,3.6350035667419434,0.405548095703125
MCQA_0025_9,MCQA,PNT2,như thế nào,a răng,Interrogatives,3.2294554710388184,3.635021686553955,0.4055662155151367
MCQA_0025_9,MCQA,PNT3,thế nào,răng,Interrogatives,3.2294554710388184,3.688340187072754,0.4588847160339355
MCQA_0025_9,MCQA,PNT3,bảo,nói,Predicate vocabulary,3.2294554710388184,3.2695279121398926,0.0400724411010742
MCQA_0025_9,MCQA,PNT4,thế nào,răn,Interrogatives,3.2294554710388184,3.71795654296875,0.4885010719299316
MCQA_0025_9,MCQA,PNT4,bảo,kêu,Predicate vocabulary,3.2294554710388184,3.3584673404693604,0.129011869430542
MCQA_0030_1,MCQA,PNN,van xin,năn nỉ,Idiomatic expressions,2.876380443572998,2.7767927646636963,-0.0995876789093017
MCQA_0030_1,MCQA,PNN,về điều,nghe chuyện,Predicate vocabulary,2.876380443572998,2.9406466484069824,0.0642662048339843
MCQA_0030_1,MCQA,PNN,bảo,kêu,Predicate vocabulary,2.876380443572998,2.972538709640503,0.0961582660675048
MCQA_0030_1,MCQA,PNN,về,dìa,Predicate vocabulary,2.876380443572998,2.9922425746917725,0.1158621311187744
MCQA_0030_1,MCQA,PNN,bảo,kêu,Predicate vocabulary,2.876380443572998,2.972538709640503,0.0961582660675048
